,source_tri_points,target_tri_points
0,"[[27.44949495, 409.43464052], [198.11616162, 454.61111111], [277.5932858, 100.72875817], [132.86125966, 104.0751634]]","[[75.66815211, 437.04248366], [251.35442662, 404.41503268], [203.66815211, 42.16666667], [71.48514557, 89.85294118]]"
1,"[[127.99524658, 430.3496732], [287.78609626, 369.27777778], [215.83838384, 53.87908497], [81.98217469, 91.52614379]]","[[77.49494949, 436.20588235], [243.97860963, 373.46078431], [234.77599525, 58.0620915], [107.61259655, 51.36928105]]"
2,"[[143.85145573, 428.67647059], [301.13250149, 374.29738562], [268.50505051, 74.79411765], [101.18478907, 123.31699346]]","[[87.49494949, 440.38888889], [252.30540701, 370.95098039], [253.97860963, 63.91830065], [83.31194296, 89.01633987]]"
3,"[[201.49851456, 450.42810458], [316.94949495, 347.52614379], [250.02139037, 91.52614379], [80.19132501, 83.16013072]]","[[132.59298871, 452.9379085], [273.97860963, 370.11437908], [291.54723708, 114.95098039], [139.28579917, 53.04248366]]"
4,"[[153.99524658, 462.14052288], [332.19132501, 384.33660131], [285.34165181, 82.32352941], [105.47237077, 130.84640523]]","[[36.56684492, 431.18627451], [233.16815211, 443.73529412], [351.12893642, 175.18627451], [172.93285799, 110.76797386]]"
5,"[[155.50505051, 441.2254902], [329.5181224, 384.33660131], [290.19786096, 58.0620915], [111.16518122, 111.60457516]]","[[43.09625668, 421.98366013], [231.3315508, 431.18627451], [338.41651812, 123.31699346], [155.20083185, 90.68954248]]"
6,"[[196.56387403, 462.97712418], [350.49851456, 357.56535948], [276.04099822, 73.95751634], [77.76648841, 117.46078431]]","[[67.42305407, 424.49346405], [257.3315508, 434.53267974], [370.27272727, 177.69607843], [183.71063577, 86.50653595]]"
7,"[[158.01485443, 442.0620915], [327.84491979, 383.5], [285.17825312, 53.87908497], [142.11942959, 121.64379085]]","[[156.03743316, 448.75490196], [322.52109329, 377.64379085], [244.71717172, 37.14705882], [113.37076649, 128.33660131]]"
8,"[[197.40047534, 463.81372549], [350.49851456, 357.56535948], [255.96256684, 27.94444444], [85.29590018, 61.40849673]]","[[182.03743316, 452.9379085], [351.03089721, 379.31699346], [290.79560309, 42.16666667], [124.31194296, 69.7745098]]"
9,"[[31.01485443, 436.20588235], [235.14557338, 446.24509804], [323.82531194, 72.28431373], [179.92988711, 99.89215686]]","[[103.49494949, 479.70915033], [293.40344623, 423.65686275], [265.79560309, 27.94444444], [121.90017825, 99.05555556]]"
10,"[[155.6684492, 462.14052288], [332.19132501, 384.33660131], [269.44622698, 66.42810458], [108.818776, 116.62418301]]","[[102.65834819, 477.19934641], [292.56684492, 422.82026144], [286.71063577, 91.52614379], [122.73677956, 102.40196078]]"
11,"[[155.50505051, 443.73529412], [331.19132501, 383.5], [250.04099822, 39.65686275], [142.11942959, 121.64379085]]","[[109.18775995, 461.30392157], [284.87403446, 410.27124183], [259.77599525, 47.18627451], [124.24658348, 113.27777778]]"
12,"[[198.23707665, 463.81372549], [348.82531194, 356.72875817], [257.63576946, 66.42810458], [105.37433155, 121.64379085]]","[[132.67795603, 465.4869281], [311.71063577, 413.61764706], [307.52762923, 100.72875817], [150.24658348, 108.25816993]]"
13,"[[192.90047534, 459.63071895], [342.65210933, 355.89215686], [254.80897207, 67.26470588], [86.65210933, 65.59150327]]","[[177.53743316, 442.89869281], [349.04070113, 383.5], [319.75965538, 103.23856209], [163.31521093, 69.7745098]]"
14,"[[124.59655377, 429.5130719], [372.2305407, 386.84640523], [297.77302436, 122.48039216], [99.49851456, 59.73529412]]","[[156.9197861, 452.9379085], [397.02436126, 392.70261438], [284.08318479, 84.83333333], [76.60606061, 48.02287582]]"
15,"[[103.85472371, 414.45424837], [351.48871064, 429.5130719], [324.71746881, 140.88562092], [154.05080214, 41.33006536]]","[[156.9197861, 452.9379085], [397.02436126, 392.70261438], [284.08318479, 84.83333333], [76.60606061, 48.02287582]]"
16,"[[50.67825312, 397.72222222], [294.12923351, 448.75490196], [340.14230541, 186.0620915], [201.26648841, 42.16666667]]","[[149.09298871, 443.73529412], [379.99494949, 386.84640523], [272.07338087, 94.03594771], [70.45246583, 53.87908497]]"
17,"[[68.54426619, 431.18627451], [328.72727273, 447.08169935], [336.25668449, 171.83986928], [176.46583482, 43.00326797]]","[[156.08318479, 449.59150327], [396.18775995, 392.70261438], [282.40998217, 89.85294118], [75.7694593, 46.3496732]]"
18,"[[93.85472371, 415.29084967], [340.65210933, 430.3496732], [313.8808675, 140.88562092], [143.21420083, 42.16666667]]","[[116.97534165, 427.83986928], [361.26292335, 387.68300654], [285.1322044, 122.48039216], [89.36749851, 61.40849673]]"
19,"[[51.68805704, 398.55882353], [284.26322044, 440.38888889], [337.8057041, 186.0620915], [198.92988711, 42.16666667]]","[[118.31194296, 420.31045752], [345.86749851, 377.64379085], [283.12240048, 124.99019608], [93.21390374, 68.10130719]]"
20,"[[61.55407011, 432.85947712], [312.53446227, 438.71568627], [328.42988711, 175.18627451], [166.12923351, 43.00326797]]","[[115.62893642, 430.3496732], [354.06030897, 383.5], [288.80540701, 120.80718954], [88.02109329, 58.89869281]]"
21,"[[50.85145573, 398.55882353], [285.09982175, 441.2254902], [338.64230541, 187.73529412], [200.60308972, 40.49346405]]","[[98.23351159, 408.59803922], [328.29887106, 416.96405229], [309.057041, 144.23202614], [149.26619133, 48.85947712]]"
22,"[[323.42988711, 174.3496732], [307.53446227, 438.71568627], [59.90047534, 432.02287582], [148.5802139, 57.2254902]]","[[312.24985146, 141.72222222], [328.9818776, 423.65686275], [93.06030897, 414.45424837], [123.17795603, 54.71568627]]"
23,"[[123.41354724, 440.38888889], [374.39393939, 391.02941176], [304.11942959, 113.27777778], [94.96910279, 46.3496732]]","[[61.20083185, 442.89869281], [334.7694593, 432.02287582], [332.25965538, 157.61764706], [153.22697564, 40.49346405]]"
24,"[[88.19132501, 416.12745098], [324.11289364, 422.82026144], [306.54426619, 141.72222222], [138.38740345, 41.33006536]]","[[49.40344623, 430.3496732], [306.24004753, 419.47385621], [306.24004753, 163.47385621], [137.24658348, 54.71568627]]"
25,"[[50.85145573, 398.55882353], [284.26322044, 440.38888889], [337.8057041, 185.2254902], [199.76648841, 42.16666667]]","[[63.09625668, 424.49346405], [308.22043969, 413.61764706], [309.057041, 167.65686275], [148.42959002, 62.24509804]]"
26,"[[58.55407011, 433.69607843], [308.69786096, 440.38888889], [324.5932858, 174.3496732], [163.12923351, 43.00326797]]","[[54.06684492, 432.02287582], [313.41325015, 421.98366013], [312.57664884, 163.47385621], [144.4197861, 52.20588235]]"
27,"[[66.74688057, 426.16666667], [307.68805704, 432.02287582], [320.23707665, 176.85947712], [166.30243613, 52.20588235]]","[[48.87403446, 397.72222222], [285.6322044, 439.55228758], [338.33808675, 187.73529412], [199.46226976, 43.00326797]]"
28,"[[245.318776, 58.89869281], [102.25995247, 216.17973856], [249.50178253, 399.39542484], [324.79590018, 294.82026144]]","[[232.46553773, 63.91830065], [95.26292335, 222.87254902], [232.46553773, 389.35620915], [317.79887106, 288.96405229]]"
29,"[[291.78282828, 78.97712418], [121.11616162, 220.3627451], [250.78936423, 433.69607843], [346.99851456, 334.97712418]]","[[246.30213904, 51.36928105], [101.57011289, 217.01633987], [245.46553773, 394.37581699], [337.49168152, 290.6372549]]"
30,"[[268.59982175, 89.01633987], [107.97237077, 223.70915033], [230.11616162, 421.98366013], [318.79590018, 327.44771242]]","[[239.01455734, 58.89869281], [99.30213904, 216.17973856], [245.7073678, 399.39542484], [318.49168152, 292.31045752]]"
31,"[[80.56060606, 63.08169935], [43.75014854, 394.37581699], [221.10962567, 403.57843137], [203.54099822, 136.70261438]]","[[37.58972074, 85.66993464], [68.5439691, 421.14705882], [245.90344623, 397.72222222], [175.62893642, 130.84640523]]"
32,"[[67.17498515, 102.40196078], [60.48217469, 431.18627451], [237.84165181, 423.65686275], [192.66518122, 163.47385621]]","[[37.58972074, 85.66993464], [68.5439691, 421.14705882], [245.90344623, 397.72222222], [175.62893642, 130.84640523]]"
33,"[[72.13576946, 88.17973856], [67.95276292, 447.91830065], [253.67825312, 457.12091503], [211.84818776, 155.94444444]]","[[89.40017825, 44.67647059], [47.57011289, 408.59803922], [234.1322044, 433.69607843], [225.76619133, 124.99019608]]"
34,"[[129.39935484, 55.62387097], [106.68967742, 281.81225806], [347.41225806, 326.32322581], [367.39677419, 99.22645161]]","[[135.42774194, 42.90645161], [96.36709677, 270.00322581], [332.54774194, 336.31548387], [372.51677419, 104.67677419]]"
35,"[[130.30774194, 51.08193548], [104.87290323, 280.90387097], [344.68709677, 326.32322581], [366.4883871, 96.50129032]]","[[135.42774194, 41.08967742], [96.36709677, 270.9116129], [332.54774194, 337.22387097], [370.7, 106.49354839]]"
36,"[[150.29225806, 37.45612903], [84.8883871, 257.28580645], [313.80193548, 349.03290323], [378.29741935, 130.1116129]]","[[135.42774194, 41.08967742], [96.36709677, 270.9116129], [332.54774194, 337.22387097], [370.7, 106.49354839]]"
37,"[[146.65870968, 38.36451613], [96.69741935, 263.64451613], [325.61096774, 338.13225806], [374.66387097, 111.03548387]]","[[135.42774194, 41.08967742], [96.36709677, 270.9116129], [332.54774194, 337.22387097], [370.7, 106.49354839]]"
38,"[[129.39935484, 48.17354839], [103.96451613, 277.08709677], [346.50387097, 327.0483871], [366.4883871, 91.77612903]]","[[129.97741935, 51.80709677], [108.17612903, 281.62903226], [347.08193548, 325.2316129], [367.97483871, 97.22645161]]"
39,"[[150.29225806, 37.95612903], [83.98, 256.87741935], [313.80193548, 349.53290323], [379.20580645, 129.70322581]]","[[129.97741935, 51.80709677], [108.17612903, 281.62903226], [347.08193548, 325.2316129], [367.97483871, 97.22645161]]"
40,"[[143.93354839, 37.77290323], [100.33096774, 260.32774194], [324.70258065, 336.63225806], [374.66387097, 108.62709677]]","[[129.97741935, 51.80709677], [108.17612903, 281.62903226], [347.08193548, 325.2316129], [367.97483871, 97.22645161]]"
41,"[[149.38387097, 39.45612903], [83.0716129, 259.28580645], [315.61870968, 351.94129032], [380.11419355, 132.1116129]]","[[130.88580645, 52.17354839], [107.26774194, 281.99548387], [346.17354839, 329.2316129], [368.88322581, 95.77612903]]"
42,"[[144.84193548, 38.77290323], [95.78903226, 262.23612903], [327.42774194, 339.44903226], [375.57225806, 111.44387097]]","[[130.88580645, 52.17354839], [107.26774194, 281.99548387], [346.17354839, 329.2316129], [368.88322581, 95.77612903]]"
43,"[[130.30774194, 47.62387097], [107.59806452, 274.72064516], [347.41225806, 319.2316129], [367.39677419, 92.13483871]]","[[131.79419355, 43.08193548], [99.09225806, 268.36193548], [337.99806452, 323.77354839], [369.7916129, 96.67677419]]"
44,"[[130.30774194, 46.76516129], [105.78129032, 276.58709677], [345.59548387, 322.91483871], [367.39677419, 93.09290323]]","[[132.70258065, 46.76516129], [103.63419355, 273.86193548], [338.90645161, 325.64], [373.42516129, 102.17677419]]"
