,source_tri_points,target_tri_points
0,"[[46.28193548, 218.33870968], [148.02129032, 244.22774194], [207.97483871, 87.07677419], [131.67032258, 24.39806452]]","[[81.99806452, 217.88451613], [170.56580645, 201.98774194], [175.56193548, 57.1], [96.98645161, 24.85225806]]"
1,"[[104.87290323, 228.33096774], [202.52451613, 207.43806452], [173.91032258, 42.1116129], [78.52967742, 31.21096774]]","[[81.99806452, 217.88451613], [170.56580645, 201.98774194], [175.56193548, 57.1], [96.98645161, 24.85225806]]"
2,"[[108.96064516, 221.06387097], [202.07032258, 207.89225806], [188.89870968, 55.73741935], [103.05612903, 33.93612903]]","[[81.99806452, 217.88451613], [170.56580645, 201.98774194], [175.56193548, 57.1], [96.98645161, 24.85225806]]"
3,"[[116.68193548, 231.51032258], [201.61612903, 191.99548387], [156.19677419, 37.56967742], [61.27032258, 29.8483871]]","[[81.99806452, 217.88451613], [170.56580645, 201.98774194], [175.56193548, 57.1], [96.98645161, 24.85225806]]"
4,"[[108.50645161, 231.05612903], [196.62, 192.44967742], [173.45612903, 41.65741935], [78.07548387, 29.39419355]]","[[45.2083871, 217.88451613], [146.94774194, 206.98387097], [207.80967742, 87.07677419], [132.86774194, 24.39806452]]"
5,"[[108.50645161, 221.51806452], [197.5283871, 191.08709677], [189.80709677, 56.64580645], [102.14774194, 33.93612903]]","[[45.2083871, 217.88451613], [146.94774194, 206.98387097], [207.80967742, 87.07677419], [132.86774194, 24.39806452]]"
6,"[[116.68193548, 231.96451613], [192.98645161, 178.82387097], [156.65096774, 38.02387097], [61.72451613, 29.39419355]]","[[45.66258065, 216.97612903], [146.49354839, 207.89225806], [208.26387097, 87.98516129], [132.41354839, 23.94387097]]"
7,"[[110.32322581, 221.51806452], [194.80322581, 191.99548387], [189.35290323, 55.28322581], [101.69354839, 34.84451613]]","[[107.43290323, 229.69354839], [196.45483871, 191.54129032], [173.29096774, 41.20322581], [77.00193548, 29.8483871]]"
8,"[[116.68193548, 231.51032258], [193.89483871, 179.27806452], [155.74258065, 37.56967742], [61.72451613, 29.8483871]]","[[108.34129032, 231.05612903], [195.54645161, 191.99548387], [173.74516129, 41.20322581], [77.91032258, 28.94]]"
9,"[[46.73612903, 217.43032258], [147.11290323, 210.16322581], [207.97483871, 86.62258065], [133.03290323, 23.48967742]]","[[80.63548387, 241.50258065], [178.28709677, 213.34258065], [182.82903226, 50.28709677], [94.26129032, 15.7683871]]"
10,"[[108.50645161, 230.60193548], [196.62, 192.90387097], [173.00193548, 41.20322581], [78.07548387, 30.30258065]]","[[80.63548387, 241.50258065], [178.28709677, 213.34258065], [182.82903226, 50.28709677], [94.26129032, 15.7683871]]"
11,"[[108.50645161, 220.60967742], [196.62, 191.99548387], [188.89870968, 56.1916129], [102.14774194, 33.02774194]]","[[80.63548387, 241.50258065], [178.28709677, 213.34258065], [182.82903226, 50.28709677], [94.26129032, 15.7683871]]"
12,"[[117.13612903, 231.96451613], [193.44064516, 178.82387097], [156.19677419, 38.02387097], [62.17870968, 28.94]]","[[80.63548387, 241.50258065], [178.28709677, 213.34258065], [182.82903226, 50.28709677], [94.26129032, 15.7683871]]"
13,"[[117.13612903, 231.96451613], [193.44064516, 178.82387097], [156.19677419, 38.02387097], [62.17870968, 28.94]]","[[108.79548387, 221.06387097], [195.09225806, 191.54129032], [188.73354839, 56.1916129], [102.43677419, 33.48193548]]"
14,"[[58.54516129, 20.76451613], [81.25483871, 219.24709677], [206.15806452, 196.53741935], [167.5516129, 53.46645161]]","[[51.11290323, 24.85225806], [99.7116129, 222.42645161], [213.26, 194.72064516], [156.94, 43.47419355]]"
15,"[[91.70129032, 20.76451613], [73.07935484, 205.16709677], [190.71548387, 211.52580645], [177.54387097, 69.81741935]]","[[51.11290323, 24.85225806], [99.7116129, 222.42645161], [213.26, 194.72064516], [156.94, 43.47419355]]"
16,"[[120.76967742, 20.31032258], [51.27806452, 199.26258065], [166.64322581, 221.51806452], [189.80709677, 92.52709677]]","[[51.11290323, 24.85225806], [99.7116129, 222.42645161], [213.26, 194.72064516], [156.94, 43.47419355]]"
17,"[[103.51032258, 20.76451613], [56.7283871, 215.61354839], [179.81483871, 220.15548387], [183.4483871, 86.1683871]]","[[51.11290323, 24.85225806], [99.7116129, 222.42645161], [213.26, 194.72064516], [156.94, 43.47419355]]"
18,"[[93.06387097, 20.76451613], [73.98774194, 205.62129032], [190.26129032, 211.0716129], [177.54387097, 68.90903226]]","[[59.2883871, 21.67290323], [81.08967742, 219.24709677], [206.90129032, 196.53741935], [167.38645161, 53.92064516]]"
19,"[[120.31548387, 19.85612903], [50.36967742, 198.35419355], [166.18903226, 221.06387097], [190.26129032, 92.98129032]]","[[59.2883871, 21.67290323], [81.08967742, 219.24709677], [206.90129032, 196.53741935], [167.38645161, 53.92064516]]"
20,"[[102.14774194, 19.85612903], [55.36580645, 214.70516129], [180.72322581, 218.33870968], [183.90258065, 85.71419355]]","[[59.2883871, 21.67290323], [81.08967742, 219.24709677], [206.90129032, 196.53741935], [167.38645161, 53.92064516]]"
21,"[[120.31548387, 20.31032258], [51.27806452, 198.8083871], [167.09741935, 221.06387097], [189.35290323, 92.07290323]]","[[93.80709677, 19.85612903], [72.91419355, 206.07548387], [190.55032258, 211.98], [176.92451613, 68.90903226]]"
